freq	dB(S(1,1))
9.99000000000000021E6	-1.97548098221202006E1
9.99009999999999998E6	-1.98422141196490109E1
9.99020000000000152E6	-1.99305321513989209E1
9.99029999999999951E6	-2.00197824108398947E1
9.99039999999999928E6	-2.01099839583634621E1
9.99050000000000082E6	-2.02011564444328373E1
9.99060000000000059E6	-2.02933201339402691E1
9.99070000000000036E6	-2.03864959318199013E1
9.99079999999999835E6	-2.04807054099768493E1
9.99089999999999989E6	-2.05759708356365456E1
9.99099999999999966E6	-2.06723152012044675E1
9.99109999999999943E6	-2.07697622557067296E1
9.99120000000000097E6	-2.08683365379382346E1
9.99129999999999896E6	-2.09680634114205855E1
9.99140000000000050E6	-2.10689691012744884E1
9.99149999999999849E6	-2.11710807331707951E1
9.99160000000000181E6	-2.12744263744297601E1
9.99169999999999980E6	-2.13790350775028859E1
9.99179999999999957E6	-2.14849369258859868E1
9.99189999999999934E6	-2.15921630827728173E1
9.99200000000000088E6	-2.17007458424705435E1
9.99210000000000065E6	-2.18107186849267887E1
9.99220000000000041E6	-2.19221163334726921E1
9.99229999999999841E6	-2.20349748160798953E1
9.99239999999999995E6	-2.21493315303296434E1
9.99249999999999972E6	-2.22652253124055610E1
9.99259999999999948E6	-2.23826965103696063E1
9.99270000000000103E6	-2.25017870620990212E1
9.99279999999999902E6	-2.26225405781020061E1
9.99290000000000056E6	-2.27450024297469966E1
9.99299999999999855E6	-2.28692198431445926E1
9.99310000000000187E6	-2.29952419992781332E1
9.99319999999999986E6	-2.31231201407218290E1
9.99329999999999963E6	-2.32529076855401673E1
9.99339999999999939E6	-2.33846603489184623E1
9.99350000000000094E6	-2.35184362731024166E1
9.99360000000000070E6	-2.36542961663601448E1
9.99370000000000047E6	-2.37923034516350285E1
9.99379999999999846E6	-2.39325244257278236E1
9.99390000000000001E6	-2.40750284298166806E1
9.99399999999999977E6	-2.42198880322589050E1
9.99409999999999954E6	-2.43671792247146168E1
9.99420000000000108E6	-2.45169816326419143E1
9.99429999999999907E6	-2.46693787413926291E1
9.99439999999999884E6	-2.48244581392203845E1
9.99450000000000038E6	-2.49823117785401205E1
9.99460000000000015E6	-2.51430362570702437E1
9.99469999999999992E6	-2.53067331203962942E1
9.99479999999999968E6	-2.54735091878469344E1
9.99489999999999945E6	-2.56434769034850030E1
9.99500000000000099E6	-2.58167547143627552E1
9.99509999999999899E6	-2.59934674781865249E1
9.99520000000000053E6	-2.61737469026844094E1
9.99530000000000030E6	-2.63577320191800579E1
9.99540000000000006E6	-2.65455696928107931E1
9.99549999999999983E6	-2.67374151720711950E1
9.99559999999999960E6	-2.69334326801857626E1
9.99570000000000114E6	-2.71337960509040688E1
9.99579999999999913E6	-2.73386894109332168E1
9.99589999999999890E6	-2.75483079110693030E1
9.99600000000000044E6	-2.77628585073754275E1
9.99610000000000021E6	-2.79825607928310305E1
9.99620000000000175E6	-2.82076478787464380E1
9.99629999999999974E6	-2.84383673229780909E1
9.99639999999999951E6	-2.86749820996373694E1
9.99650000000000105E6	-2.89177716007576135E1
9.99660000000000082E6	-2.91670326552737347E1
9.99670000000000059E6	-2.94230805429763453E1
9.99679999999999858E6	-2.96862499710149308E1
9.99690000000000012E6	-2.99568959659120448E1
9.99699999999999989E6	-3.02353946148517982E1
9.99709999999999965E6	-3.05221435623883774E1
9.99720000000000120E6	-3.08175621321398285E1
9.99729999999999919E6	-3.11220908910315952E1
9.99740000000000073E6	-3.14361904036354778E1
